sample	chrY_reads	chrY_reads_mq25	chrY_bases_mq25_bq20	chrY_DoC_callable
MX150	3535	3425	203355	0.0162x
MX182	9426	9148	488715	0.0389x
MX183	15261	14799	861989	0.0686x
MX187	12248	11846	684863	0.0545x
MX203	46	31	1627	0.0001x
MX204	6867	6704	402242	0.0320x
MX209	6516	6328	370769	0.0295x
MX210	31736	30629	1802244	0.1434x
MX211	17379	16762	966616	0.0769x
MX212	13822	13273	704884	0.0561x
MX213	9906	9664	523231	0.0416x
MX219	976	950	43749	0.0035x
MX299	1000	967	54091	0.0043x
SX10	10929	10663	609812	0.0485x
SX8	259	209	11380	0.0009x
