sample	proxy	note
Aesch1	20769	compilation_id=Aes1;site=Aesch (CH);published_Y=G2a2a1a2a1
Aesch4	24741	compilation_id=Aes4;site=Aesch (CH);published_Y=G2a2a1a2a1a
Aesch6	6163	compilation_id=Aes6;site=Aesch (CH);published_Y=G2a2a
Aesch7	15555	compilation_id=Aes7;site=Aesch (CH);published_Y=G2a2a1a2a1a
Aesch12	20241	compilation_id=Aes12;site=Aesch (CH);published_Y=low coverage
Aesch13	17	compilation_id=Aes13;site=Aesch (CH);published_Y=low coverage
Aesch14	21356	compilation_id=Aes14;site=Aesch (CH);published_Y=G2a2a1a2a1
Aesch17	25382	compilation_id=Aes17;site=Aesch (CH);published_Y=low coverage
Aesch19	26546	compilation_id=Aes19;site=Aesch (CH);published_Y=G2a2a1a2a1
Aesch20	26595	compilation_id=Aes20;site=Aesch (CH);published_Y=low coverage
Aesch21	25127	compilation_id=Aes21;site=Aesch (CH);published_Y=low coverage
Aesch22	20338	compilation_id=Aes22;site=Aesch (CH);published_Y=G2a2a1a2a1
Aesch23	29152	compilation_id=Aes23;site=Aesch (CH);published_Y=low coverage
SNPRA61	21368	compilation_id=RA61;site=Muttenz (CH);published_Y=low coverage
SNPRA62	22831	compilation_id=RA62;site=Muttenz (CH);published_Y=low coverage
