marker	expected_callable	p_zero_callable	p_ge1_callable	p_ge2_callable	freq	p_split
Z6219	4.03	0.006	0.994	0.953	0.10	0.331
Z6219	4.03	0.006	0.994	0.953	0.25	0.630
Z6219	4.03	0.006	0.994	0.953	0.50	0.792
Z6219	4.03	0.006	0.994	0.953	0.75	0.630
Z6219	4.03	0.006	0.994	0.953	0.90	0.331
L166	5.90	0.000	1.000	0.997	0.10	0.454
L166	5.90	0.000	1.000	0.997	0.25	0.791
L166	5.90	0.000	1.000	0.997	0.50	0.935
L166	5.90	0.000	1.000	0.997	0.75	0.791
L166	5.90	0.000	1.000	0.997	0.90	0.454
Z6219+L166	2.12	0.082	0.918	0.666	NA	NA
