marker	node	role	node_status
P287	G-P287	defining	published
P15	G-P15	defining	published
M3308	G-M3308	defining	published
PF3147	G-PF3147	defining	published
PF3148	G-PF3148	defining	published
PF3177	G-PF3177	defining	published
L91	G-L91	defining	published
Z6488	G-Z6488	defining	published
PF3239	G-PF3239	defining	published
Z6043	G-PF3239	equivalent	published
Z6219	G-Z6219	defining	provisional
FGC5671	G-Z6219	defining	provisional
Z6135	G-Z6219	equivalent	provisional
Z6209	G-Z6219	equivalent	provisional
L166	G-L166	defining	published
L167	G-L166	defining	published
FGC5696	G-L166	equivalent	published
FGC5721	G-L166	equivalent	published
Z6516	G-L166	equivalent	published
Z6287	G-L166	equivalent	published
S19530	G-L166	equivalent	published
Z6134	G-L166	equivalent	published
Z6206	G-L166	equivalent	published
Z1370	G-L166	equivalent	published
FGC5672	G-L166	equivalent	published
Z6220	G-L166	equivalent	published
C101821	G-L166	equivalent	published
Z6519	G-L166	equivalent	published
FT91632	G-L166	equivalent	published
FT191098	G-L166	equivalent	published
Z6208	G-Z6208	defining	refuted
Z6494	G-Z6494	defining	published
FGC5687	G-Z6494	defining	published
Z6215	G-Z6494	defining	published
Z6211	G-Z6211	defining	published
Z6495	G-Z6211	defining	published
FGC5722	G-Z6211	defining	published
Z6499	G-Z6499	defining	provisional
